feature,coefficient,abs_importance
timestamp_2024-12-30 21:31:52,0.04468694960897267,0.04468694960897267
user_id_user_1r1zn4lc,0.04468694960897267,0.04468694960897267
post_id_u50pnlesq1y8,0.04468694960897267,0.04468694960897267
"text_content_What's your opinion about Microsoft's Xbox Elite Controller? @BrandCEO #Fitness, #Food Really interested in hearing your thoughts!",0.04468694960897267,0.04468694960897267
"keywords_value, luxury, reliable",0.03762424685397607,0.03762424685397607
timestamp_2025-02-07 18:46:29,0.03762424685397607,0.03762424685397607
user_id_user_k9fjjzk5,0.03762424685397607,0.03762424685397607
post_id_k508grdqqbne,0.03762424685397607,0.03762424685397607
text_content_Has anyone else experienced connectivity issues with Coca-Cola's Sprite? Absolutely loving it.  #NewRelease Would love to get your feedback!,0.03762424685397607,0.03762424685397607
"keywords_reliable, traditional",0.031912688392897355,0.031912688392897355
post_id_3wrr5osp1d7v,0.029183239841242957,0.029183239841242957
text_content_Just saw an ad for Nike Dri-FIT during the EarthDay. Absolutely loving it. #Tech Really interested in hearing your thoughts!,0.029183239841242957,0.029183239841242957
user_id_user_95o4cmw7,0.029183239841242957,0.029183239841242957
"keywords_value, upgraded",0.029183239841242957,0.029183239841242957
timestamp_2024-11-22 06:44:03,0.029183239841242957,0.029183239841242957
"hashtags_#Fitness, #Food",0.027123743283397762,0.027123743283397762
"keywords_reliable, design, user-friendly",0.02450804559145803,0.02450804559145803
post_id_ezr0yimf424c,0.02450804559145803,0.02450804559145803
timestamp_2025-04-13 00:53:34,0.02450804559145803,0.02450804559145803
user_id_user_jkihefue,0.02450804559145803,0.02450804559145803
text_content_Adidas FallCollection is outstanding! Can't wait to see what's coming next. #Travel Let me know what you think!,0.02450804559145803,0.02450804559145803
"keywords_experience, disappointing",0.02302919264215362,0.02302919264215362
user_id_user_qv5ox0hb,0.02302919264215362,0.02302919264215362
timestamp_2024-10-06 18:04:35,0.02302919264215362,0.02302919264215362
post_id_2sg4lnth44i6,0.02302919264215362,0.02302919264215362
text_content_Comparing Toyota Prius to the competition. Worth every penny. #Fitness Would love to get your feedback!,0.02302919264215362,0.02302919264215362
timestamp_2025-01-05 21:03:27,0.022118992824231243,0.022118992824231243
"text_content_What's your opinion about Adidas's Superstar? @MarketingTeam #Beauty, #Affordable, #Food Really interested in hearing your thoughts!",0.022118992824231243,0.022118992824231243
user_id_user_mp25uas4,0.022118992824231243,0.022118992824231243
"keywords_slow, responsive, poor, sustainable",0.022118992824231243,0.022118992824231243
"hashtags_#Beauty, #Affordable, #Food",0.022118992824231243,0.022118992824231243
post_id_xqfbmjzb0pqy,0.022118992824231243,0.022118992824231243
"text_content_Just saw an ad for Toyota Highlander during the EarthDay. Absolutely loving it. #NewRelease, #Fashion",0.020249135256114992,0.020249135256114992
"keywords_responsive, user-friendly",0.020249135256114992,0.020249135256114992
post_id_kk0fyitkmerc,0.020249135256114992,0.020249135256114992
timestamp_2025-01-16 04:22:59,0.020249135256114992,0.020249135256114992
user_id_user_l9k6k4vr,0.020249135256114992,0.020249135256114992
user_id_user_95x9pwfh,0.019865945837706327,0.019865945837706327
post_id_db2d9upg2aip,0.019865945837706327,0.019865945837706327
timestamp_2025-01-12 13:54:26,0.019865945837706327,0.019865945837706327
"hashtags_#Premium, #Food, #Tech",0.019865945837706327,0.019865945837706327
"text_content_Confused about with my new Xbox Elite Controller from Microsoft! Worth every penny. #Premium, #Food, #Tech",0.019865945837706327,0.019865945837706327
"keywords_experience, value, feature, poor",0.019865945837706327,0.019865945837706327
"text_content_Can't contain my excitement with my new Pixel Buds from Google! It's okay. #Reviews, #NewRelease, #CustomerService",0.019232595972306126,0.019232595972306126
"hashtags_#Reviews, #NewRelease, #CustomerService",0.019232595972306126,0.019232595972306126
timestamp_2024-07-19 10:34:06,0.019232595972306126,0.019232595972306126
post_id_xsowxghh70d1,0.019232595972306126,0.019232595972306126
user_id_user_rsvr1ffv,0.019232595972306126,0.019232595972306126
post_id_l3edslcpws1t,0.018376009538397832,0.018376009538397832
timestamp_2024-10-09 14:51:55,0.018376009538397832,0.018376009538397832
user_id_user_jc2evjwu,0.018376009538397832,0.018376009538397832
text_content_Google ReferralBonus is excellent! Can't wait to see what's coming next. #Quality Let me know what you think!,0.018376009538397832,0.018376009538397832
"keywords_experience, recommendation, satisfaction",0.018376009538397832,0.018376009538397832
user_id_user_v6qix730,0.018261302219495967,0.018261302219495967
"hashtags_#Fashion, #Trending, #Fitness",0.018261302219495967,0.018261302219495967
timestamp_2025-01-18 12:02:40,0.018261302219495967,0.018261302219495967
post_id_czhkci1z5uea,0.018261302219495967,0.018261302219495967
"text_content_Just tried the Surface Pro from Microsoft. Exceeded my expectations. #Fashion, #Trending, #Fitness Let me know what you think!",0.018261302219495967,0.018261302219495967
post_id_wibhgbg5ygi5,0.015710741600678278,0.015710741600678278
user_id_user_rk5kh503,0.015710741600678278,0.015710741600678278
"keywords_modern, amazing, customer, expensive",0.015710741600678278,0.015710741600678278
timestamp_2025-02-15 06:57:17,0.015710741600678278,0.015710741600678278
"text_content_Just unboxed my new Ring Camera from Amazon. Worth every penny. Feeling let down #Lifestyle, #SpecialOffer, #BestValue",0.015710741600678278,0.015710741600678278
"keywords_slow, stylish",0.01554142459659059,0.01554142459659059
"keywords_feature, satisfaction",0.014808270390407911,0.014808270390407911
"hashtags_#Lifestyle, #SpecialOffer, #BestValue",0.01433391881827867,0.01433391881827867
post_id_sxvxzccy4dqd,0.014001779501255855,0.014001779501255855
"keywords_excellent, budget, recommendation",0.014001779501255855,0.014001779501255855
text_content_Just saw an ad for Amazon Fire Tablet during the HolidaySpecial. Exceeded my expectations. #Food,0.014001779501255855,0.014001779501255855
user_id_user_t9ifl4r9,0.014001779501255855,0.014001779501255855
timestamp_2024-05-04 19:32:30,0.014001779501255855,0.014001779501255855
"keywords_cheap, unique, value",0.011571196801108224,0.011571196801108224
"text_content_Just tried the Ring Camera from Amazon. Not bad. #Health, #ProductLaunch, #Innovation Curious about your experience too.",0.011571196801108224,0.011571196801108224
user_id_user_jo3tokkx,0.011571196801108224,0.011571196801108224
"hashtags_#Health, #ProductLaunch, #Innovation",0.011571196801108224,0.011571196801108224
timestamp_2024-12-12 22:51:49,0.011571196801108224,0.011571196801108224
post_id_3ch6y9e3s690,0.011571196801108224,0.011571196801108224
"hashtags_#NewRelease, #Fashion",0.01101689404047455,0.01101689404047455
user_id_user_9qe4c9kx,0.010737572384604358,0.010737572384604358
timestamp_2025-01-13 03:18:54,0.010737572384604358,0.010737572384604358
"text_content_Samsung LocalTouchpoints is okay! Can't wait to see what's coming next. #Affordable, #Sustainable Would love to get your feedback!",0.010737572384604358,0.010737572384604358
"keywords_experience, reliable, competitive, expensive",0.010737572384604358,0.010737572384604358
post_id_408erfuclmbn,0.010737572384604358,0.010737572384604358
"keywords_poor, slow, feature",0.010032690512643638,0.010032690512643638
user_id_user_6ggvg2bt,0.010032690512643638,0.010032690512643638
text_content_Comparing Toyota RAV4 to the competition. Worth every penny. #Deal Would love to get your feedback!,0.010032690512643638,0.010032690512643638
post_id_qb4ph1z4xp1q,0.010032690512643638,0.010032690512643638
timestamp_2024-10-19 18:57:59,0.010032690512643638,0.010032690512643638
timestamp_2024-09-26 21:57:13,0.009947689547708994,0.009947689547708994
text_content_Should I upgrade about Apple's iMac?  #Sustainable Curious about your experience too.,0.009947689547708994,0.009947689547708994
post_id_8jrj04pee839,0.009947689547708994,0.009947689547708994
user_id_user_gzxky83v,0.009947689547708994,0.009947689547708994
user_id_user_2jm1teqt,0.00969498527590875,0.00969498527590875
timestamp_2025-01-21 17:38:46,0.00969498527590875,0.00969498527590875
post_id_f3b1962s1l7m,0.00969498527590875,0.00969498527590875
"text_content_My one week review of Apple Apple Watch: Absolutely loving it. #Deal, #Affordable, #Travel Really interested in hearing your thoughts!",0.00969498527590875,0.00969498527590875
"hashtags_#Deal, #Affordable, #Travel",0.00969498527590875,0.00969498527590875
timestamp_2024-05-31 19:36:10,0.00841690072161175,0.00841690072161175
"keywords_competitive, slow",0.00841690072161175,0.00841690072161175
user_id_user_88cacfop,0.00841690072161175,0.00841690072161175
"text_content_Just unboxed my new Coke Zero from Coca-Cola. As expected. Sad to report #Fitness, #Reviews",0.00841690072161175,0.00841690072161175
post_id_5q2hovgwhtbx,0.00841690072161175,0.00841690072161175
timestamp_2024-10-10 02:48:40,0.00825717665277458,0.00825717665277458
"text_content_Just saw an ad for Nike Zoom Pegasus during the SummerDreams. Absolutely loving it. #Discount, #Fitness",0.00825717665277458,0.00825717665277458
post_id_3vhsv682brpm,0.00825717665277458,0.00825717665277458
user_id_user_jxoe2fqh,0.00825717665277458,0.00825717665277458
"keywords_performance, improved",0.00825717665277458,0.00825717665277458
"keywords_competitive, quality, disappointing",0.007973495377094816,0.007973495377094816
user_id_user_rzb71l02,0.007973495377094816,0.007973495377094816
text_content_Comparing Toyota RAV4 to the competition. Highly recommend. #Eco Let me know what you think!,0.007973495377094816,0.007973495377094816
timestamp_2025-03-01 01:03:30,0.007973495377094816,0.007973495377094816
post_id_rudyo27978s4,0.007973495377094816,0.007973495377094816
"hashtags_#Discount, #Sustainable, #ProductLaunch",0.007911919734580957,0.007911919734580957
post_id_ycbdyps0lq34,0.007911919734580957,0.007911919734580957
timestamp_2025-04-08 18:11:05,0.007911919734580957,0.007911919734580957
"text_content_Has anyone else experienced software bugs with Apple's iPhone 15? It's okay.  #Discount, #Sustainable, #ProductLaunch",0.007911919734580957,0.007911919734580957
user_id_user_9hlqhokz,0.007911919734580957,0.007911919734580957
"keywords_luxury, excellent, competitive, expensive",0.007911919734580957,0.007911919734580957
timestamp_2024-11-12 14:58:24,0.007804546367266895,0.007804546367266895
post_id_5reqv66syf87,0.007804546367266895,0.007804546367266895
user_id_user_f6x1glt8,0.007804546367266895,0.007804546367266895
"keywords_design, service",0.007804546367266895,0.007804546367266895
"text_content_Just saw an ad for Microsoft Surface Go during the BackToSchool. Highly recommend. #BestValue, #Fitness",0.007804546367266895,0.007804546367266895
"hashtags_#BestValue, #Fitness",0.007804546367266895,0.007804546367266895
"hashtags_#Discount, #Fitness",0.0077586671877791285,0.0077586671877791285
timestamp_2024-07-23 02:43:34,0.007672392563701024,0.007672392563701024
"hashtags_#ProductLaunch, #Innovation, #Fitness",0.007672392563701024,0.007672392563701024
post_id_yqu47d2r1n0u,0.007672392563701024,0.007672392563701024
"text_content_Has anyone else experienced battery problems with Microsoft's Surface Pro? It's okay. @StyleGuide #ProductLaunch, #Innovation, #Fitness",0.007672392563701024,0.007672392563701024
user_id_user_gs9pdtqi,0.007672392563701024,0.007672392563701024
"keywords_premium, improved",0.007672392563701024,0.007672392563701024
user_id_user_j1ile7ij,0.007627218382681582,0.007627218382681582
"keywords_quality, budget, modern, slow",0.007627218382681582,0.007627218382681582
timestamp_2024-05-22 18:26:33,0.007627218382681582,0.007627218382681582
post_id_6y01k6xupm2v,0.007627218382681582,0.007627218382681582
"text_content_Attended the Adidas WinterWonders event yesterday. Does the job. #Trending, #Fashion, #Health Would love to get your feedback!",0.007627218382681582,0.007627218382681582
"hashtags_#Trending, #Fashion, #Health",0.007627218382681582,0.007627218382681582
"keywords_slow, helpful",0.0076061447482751975,0.0076061447482751975
"text_content_Just unboxed my new Apple Watch from Apple. Exceeded my expectations. Feeling let down #Tech, #Lifestyle, #ProductLaunch",0.007426715476355631,0.007426715476355631
post_id_x8zear385gwo,0.007426715476355631,0.007426715476355631
user_id_user_tk0nqd2z,0.007426715476355631,0.007426715476355631
timestamp_2024-11-19 18:02:58,0.007426715476355631,0.007426715476355631
user_id_user_jlq7cc86,0.007365886585696845,0.007365886585696845
timestamp_2025-04-15 03:49:45,0.007365886585696845,0.007365886585696845
"text_content_Just unboxed my new Nest Thermostat from Google. Best purchase ever. So happy #Tech, #Discount",0.007365886585696845,0.007365886585696845
post_id_eqh1fss9y4yk,0.007365886585696845,0.007365886585696845
"keywords_stylish, excellent, experience",0.007365886585696845,0.007365886585696845
"hashtags_#Fitness, #Reviews",0.0072870828207318075,0.0072870828207318075
user_id_user_dx4kptey,0.007166223962344719,0.007166223962344719
timestamp_2025-02-10 12:42:41,0.007166223962344719,0.007166223962344719
post_id_y0plnllq8zbq,0.007166223962344719,0.007166223962344719
text_content_Samsung PowerRelease is amazing! Can't wait to see what's coming next. #Sale Would love to get your feedback!,0.007166223962344719,0.007166223962344719
"keywords_helpful, improved",0.007166223962344719,0.007166223962344719
"hashtags_#Affordable, #Sustainable",0.007118392364374617,0.007118392364374617
"keywords_traditional, recommendation",0.007049730677573248,0.007049730677573248
"hashtags_#Food, #MustHave",0.007037093249656848,0.007037093249656848
post_id_hcyzg704xkfo,0.007037093249656848,0.007037093249656848
"keywords_stylish, improved, traditional, quality",0.007037093249656848,0.007037093249656848
timestamp_2024-10-13 17:19:23,0.007037093249656848,0.007037093249656848
user_id_user_8hx42acx,0.007037093249656848,0.007037093249656848
"text_content_Just saw an ad for Pepsi Pepsi Max during the LaunchWave. Highly recommend. #Food, #MustHave",0.007037093249656848,0.007037093249656848
user_id_user_bs1fqazt,0.006814356292683474,0.006814356292683474
post_id_b6ix6dnn5ezy,0.006814356292683474,0.006814356292683474
"text_content_So happy with my new Pixel 8 from Google! Worth every penny. #Fitness, #Sale, #Health",0.006814356292683474,0.006814356292683474
timestamp_2024-09-14 15:19:55,0.006814356292683474,0.006814356292683474
"keywords_delivery, durable",0.006814356292683474,0.006814356292683474
"keywords_fast, customer",0.006743263672535785,0.006743263672535785
user_id_user_j3tr99n2,-0.006705428338471794,0.006705428338471794
post_id_dc9bwfcyk4zc,-0.006705428338471794,0.006705428338471794
timestamp_2024-10-01 00:37:04,-0.006705428338471794,0.006705428338471794
text_content_Delighted with my new Coca-Cola Vanilla from Coca-Cola! Exceeded my expectations. #Sale Would love to get your feedback!,-0.006705428338471794,0.006705428338471794
post_id_febtqko9uooc,0.006650064568344516,0.006650064568344516
timestamp_2024-07-31 19:39:45,0.006650064568344516,0.006650064568344516
"text_content_Google CustomerFirst is impressive! Can't wait to see what's coming next. #Fitness, #CustomerService Let me know what you think!",0.006650064568344516,0.006650064568344516
"keywords_expensive, eco-friendly",0.006650064568344516,0.006650064568344516
user_id_user_qmta1cuk,0.006650064568344516,0.006650064568344516
post_id_jyfoyqomrrtl,0.0065446632816333165,0.0065446632816333165
user_id_user_xiaxkbl5,0.0065446632816333165,0.0065446632816333165
"keywords_competitive, slow, modern",0.0065446632816333165,0.0065446632816333165
text_content_Just unboxed my new Pixel Tablet from Google. Worth every penny. Thrilled #Quality Would love to get your feedback!,0.0065446632816333165,0.0065446632816333165
timestamp_2025-04-08 18:05:49,0.0065446632816333165,0.0065446632816333165
"text_content_Just tried the Sprite from Coca-Cola. Highly recommend. #Promo, #Trending, #Sale Curious about your experience too.",0.00643705097283354,0.00643705097283354
post_id_pzrovb3e46fr,0.00643705097283354,0.00643705097283354
"keywords_stylish, satisfaction, luxury",0.00643705097283354,0.00643705097283354
user_id_user_azj09nr4,0.00643705097283354,0.00643705097283354
"hashtags_#Promo, #Trending, #Sale",0.00643705097283354,0.00643705097283354
timestamp_2024-05-10 12:57:01,0.00643705097283354,0.00643705097283354
timestamp_2025-03-06 06:02:19,0.0062710405890020185,0.0062710405890020185
"keywords_unique, design, responsive, fast",0.0062710405890020185,0.0062710405890020185
post_id_f7wk2gfnnum0,0.0062710405890020185,0.0062710405890020185
"text_content_Any advice about Microsoft's Surface Duo? @NewsOutlet #MustHave, #Beauty Let me know what you think!",0.0062710405890020185,0.0062710405890020185
user_id_user_so6x4hwz,0.0062710405890020185,0.0062710405890020185
timestamp_2024-09-27 03:14:25,-0.00606883287760352,0.00606883287760352
user_id_user_y6f3dce7,-0.00606883287760352,0.00606883287760352
"text_content_Just tried the React from Nike. Best purchase ever. #Beauty, #Sale Curious about your experience too.",-0.00606883287760352,0.00606883287760352
post_id_0lbkstp4x926,-0.00606883287760352,0.00606883287760352
timestamp_2024-11-25 03:34:17,0.006057288744887785,0.006057288744887785
user_id_user_gbfw65um,0.006057288744887785,0.006057288744887785
"keywords_service, fast, experience",0.006057288744887785,0.006057288744887785
text_content_Samsung ReferralBonus is excellent! Can't wait to see what's coming next. #Eco Would love to get your feedback!,0.006057288744887785,0.006057288744887785
post_id_k5l67uj9wv2t,0.006057288744887785,0.006057288744887785
user_id_user_wfsz1fil,0.006028900416215338,0.006028900416215338
text_content_My three months review of Nike React: As expected. #Eco Would love to get your feedback!,0.006028900416215338,0.006028900416215338
post_id_m3v9bz8ipd9y,0.006028900416215338,0.006028900416215338
timestamp_2024-11-14 23:37:11,0.006028900416215338,0.006028900416215338
"keywords_slow, unique, outdated, amazing",0.006028900416215338,0.006028900416215338
